ALUMINIUM HYDROXIDE,"Oral suspension: Aluminium hydroxide 250 mg/5 ml and Magnesium hydroxide 250 mg/5 ml; Tablets/Gel: may contain simethicone, and some contain algenic acid",Ulcer and non ulcer dyspepsia; gastro-oesophageal reflux.,"Hypophosphatemia, undiagnosed GI or rectal bleeding, appendicitis, porphyria, renal impairment (aluminium may accumulate), constipation, hepatic impairment, dehydration.",Tablets: 1-2 tablets chewed 4 times a day and at bed time or as required; Suspension: 5-10 ml 4 times daily between meals and at bedtime; Children (6-12 years): up to 5 ml 3 times daily,"Constipation, haemorrhoids, fissures, faecal impaction","Decreases absorption of digoxin, azithromycin, ciprofloxacin, norfloxacin, rifampicin, tetracycline, isoniazid Patient information: Take with water to decrease constipation"
INFLIXIMAB,Injection: 100 mg,"Crohn’s disease, ulcerative colitis","Discontinue if serious infection/sepsis, pregnancy (B). Consider premedication with antihistamines, acetaminophen, and/or corticosteroids. Increases risk of lymphoma and other malignancy in children and adolescents","Crohn disease: adult, IV: 5 mg/kg at 0, 2, and 6 weeks, followed by 5 mg/kg every 8 weeks thereafter; dose may be increased to 10 mg/kg in patients who respond but then lose their response. If no response by week 14, consider discontinuing therapy, Children ≥6 years and adolescents, IV: 5 mg/kg at 0, 2, and 6 weeks, followed by 5 mg/kg every 8 weeks thereafter; Ulcerative colitis: IV: 5 mg/kg at 0, 2, and 6 weeks, followed by 5 mg/kg every 8 weeks thereafter, children ≥6 years and adolescents, IV, 5 mg/kg at 0, 2, and 6 weeks, followed by 5 mg/kg every 8 weeks thereafter","Hypersensitivity, abdominal pain, increased serum ALT, infection, infusion related reaction","Adalimumab, etanercept (increases immunosuppressive effect of infliximab)"
MESALAZINE,Tablet: 1.2 g; Suppository: 500 mg; Enema: 5 ml,"Ulcerative colitis (acute attack, maintenance of remission). maintenance of remission of Crohn’s ileo-colitis","Hypersensitivity to salicylates, breast feeding mother, children with chickenpox or flu like symptoms, active peptic ulcer disease, severe renal failure. Empty stomach prior rectal administration of drug; instruct patient on correct method of administration","Maintenance of remission of ulcerative colitis (UC) and Crohn’s ileo-colitis: Adult 1.2-2.4 g daily in divided dosage, child 12-17 years 400-800 mg 3 times/day; Treatment of mild to moderate UC and acute attack: Adult 2.4 g daily in divided dosage, child 12-17 years 800 mg 3 times a day","Dizziness, oligospermia, abdominal pain, flatulence and headache",Preparation that lower stool pH (e.g. lactulose) may prevent release of mesalazine
SULFASALAZINE,"Tablet: 0.5 g, 1 g; Suppository: 500 mg","Ulcerative colitis, active Crohn’s disease, active rheumatoid arthritis","Avoid in cases of hypersensitivity to salicylates or sulfonamides, child under 2 years, porphyria, intestinal or urinary obstruction, severe renal impairment. Use with caution in renal, hepatic impairment, G6PD deficiency, blood related disorder, child","Ulcerative colitis: adult (oral) - 1-2 g QID in acute attack until remission maintenance dose 500 mg QID, child > 2 yrs 40 -60 mg/kg in acute attack, reducing to maintenance dose 20-30 mg/kg daily; Active Crohn’s disease: adult (oral) 1-2 g QID in acute attack until omission occurs, child >2 year 40-60 mg/kg daily in acute attack; Ulcerative colitis, Crohn’s disease: by reactive suppositories, 0.5-1 g morning & evening after bowel movement, by rectum (retention enema), 3 gm at night for at least an hour","Nausea, vomiting, exacerbation of colitis, diarrhoea, loss of appetite, fever, blood disorders, hypersensitivity, lung complications (eosinophilia, fibrosing alveolitis), periorbital edema Patient information: Take each oral dose with full glass of water to prevent crystalluria, urine, skin may be coloured yellow orange.",
OCTREOTIDE,"Injection: 0.05 mg/ml, 0.1 mg/ml, 0.2 mg/ml, 0.5 mg/ml and 1 mg/ml","Esophageal variceal bleeding, acromegaly, carcinoid tumor, VIPoma","Esophageal variceal bleeding: 50 mcg IV bolus, then 25-50 mcg/hr for 1-5 days",,,
TERLIPRESSIN,Injection: 200 mg/2 ml,Bleeding from esophageal varices,"Avoid in seizure, migraine, asthma, heart failure and renal disease. Use in pregnant women only if clearly needed","Initially 2 mg every 4-6 hours until bleeding is controlled, then 1 mg every 4-6 hour for maximum up to 48 hours","Abdominal cramps, headache, cardiac arrhythmias",
URSODEOXYCHOLIC ACID,Tablets: 150 mg; Capsules: 250 mg,"Used in dissolution of gallstones, primary biliary cirrhosis","Pregnant and lactating mothers. Avoid aluminium containing antacids during therapy, may impair absorption","Dissolution of gall stones: 8-12 mg/kg daily as a single dose at bedtime or in two divided doses, for up to 2 years; treatment is continued for 3-4 months after stones dissolve; Primary biliary cirrhosis: 10-15 mg/kg daily in 2-4 divided doses","Nausea, vomiting, diarrhoea, gallstone calcification, pruritus",
GLYCERYL TRINATRE (Nitroglycerine),"Solution (infusion): 25 mg/250 ml, 50 mg/250
ml, 100 mg/250 ml; Solution (injection): 5 mg/ ml","Prophylaxis and acute attack of angina pectoris, Hypertensive
emergencies, acute decompensated heart failure","Avoid in hypersensitivity to nitrates,
hypotension, hypovolemia, hypertrophic obstructive cardiomyopathy,
aortic stenosis, cardiac tamponade, constrictive pericarditis, mitral stenosis,
marked anemia, head trauma, cerebral hemorrhage, angle-closure glaucoma.
Use caution in severe hepatic impairment, hypothyroidism, malnutrition,
hypothermia, recent history of myocardial infarction. Renal impairment: 10-
50 ml/min: never administer. Uninterrupted infusion > 24 hours produces
tolerance.","• Angina (acute attack): Intravenous infusion, adult: initially 5–10 mcg/min.
The rate of the infusion may be increased by 10 mcg/min every 3–5 min until
symptoms are relieved, systolic arterial pressure falls to <100 mm Hg, or the
dose reaches 200 mcg/min
• Hypertensive emergencies: Intravenous infusion, adult: 5-10 mcg/min
initial dose and up to 200 mcg/min as long as hemodynamic stability is
maintained) for the first 24–48 h after the onset of infarction.
• Acute decompensated heart failure: Intravenous infusion, adult: 10–20
mcg/min, increase up to 200 mcg/min. Intravenous infusion, Children:
Initially 0.25- 0.5 mcg/kg/min to titrate to 0.5-1.0 mcg/kg/min. Maximum
dose 20 mcg/kg/min
• Start with the lowest dose. Subsequent doses and intervals of administration
should be adjusted according to the blood pressure response and duration
of action.","Throbbing headache (most frequent in early therapy),
flushing, dizziness, postural hypotension, Tachycardia, syncope, paradoxical
bradycardia","Increases the effect of beta-blockers, ACE
inhibitors, angiotensin receptor blockers, calcium channel blockers. Avoid in
concomitant/recent use of erectile dysfunction products (sildenafil, tadalafil,
vardenafil) - may cause severe hypotension and death. Avoid alcohol intake."
ISOSORBIDE DINITRATE,"Tablet (sublingual): 5 mg, 10 mg","Prophylaxis and treatment of angina, left ventricular failure.","Avoid in hypersensitivity to nitrates,
hypotension, hypovolemia, hypertrophic obstructive cardiomyopathy,
aortic stenosis, cardiac tamponade, constrictive pericarditis, mitral stenosis,
marked anemia, head trauma, cerebral hemorrhage, angle-closure glaucoma.
Use caution in severe hepatic impairment, hypothyroidism, malnutrition,
hypothermia, recent history of myocardial infarction. Renal impairment: 10-
50 ml/min: never administer. Uninterrupted infusion > 24 hours produces
tolerance. Patients taking isosorbide dinitrate for the long-term management of angina
may often develop tolerance to the antianginal effect; avoid by giving the
second of 2 daily doses of longer-acting oral preparations after an 8-hour
rather than a 12-hour interval, thus ensuring a nitrate-free interval each day.","• Angina (acute attack): Sublingual, adult: 5–10 mg repeated as required.
• Angina (prophylaxis): Oral, adult: 30-120 mg daily in divided doses.
Intravenous infusion: 2-10 mg daily, maximum dose 20 mg/hour.
• Left ventricular failure: Oral, adult 40-160 mg daily in divided doses,
maximum dose 240 mg daily in divided doses. Intravenous infusion: 2-10
mg daily, maximum dose 20 mg/hour.","Throbbing headache (most frequent in early therapy),
flushing, dizziness, postural hypotension, Tachycardia, syncope, paradoxical
bradycardia, tolerance (in long term,
uninterrupted use)",
ATENOLOL,"Tablet: 25 mg, 50 mg, 100 mg; Solution: 500
mcg/ml in 10ml vial.","Chronic stable angina, secondary prevention after myocardial
infarction, supra ventricular arrhythmia, mild CHF, hypertension, migraine
prophylaxis.","Avoid in history of asthma or bronchospasm
(if no alternative, then use with extreme caution and under specialist
supervision), uncontrolled heart failure, prinzemetal angina, bradycardia
(heart rate <50 bpm), hypotension, sick sinus syndrome, second and third
degree atrioventricular block, cardiogenic shock, metabolic acidosis, severe
peripheral arterial disease, pheochromocytoma (unless used with an alpha
blocker). Use caution in patients with first –degree atrioventricular block,
portal hypertension, renal impairment (reduce dose), diabetes mellitus (small
decrease in glucose tolerance, which can mask symptoms of hypoglycemia),
history of hypersensitivity and myasthenia gravis, obstructive airway
disease, portal hypertension, psoriasis. Pregnancy- avoid (IUGR, neonatal
hypoglycemia and bradycardia). Breast feeding: avoid. Monitor lung function
in inadequate cardiac function and bronchospasm disease. Symptoms of
hypoglycemia and thyrotoxicosis may get masked. Assess weight daily, watch
for CHF (rales/crackles, jugular vein distension, weight gain, and edema).
Abrupt withdrawal of drug may exacerbate angina symptoms or precipitate
myocardial infarction in patients with coronary artery disease.","• Hypertension: Oral, adult: 25 – 50 mg daily. Oral, child: 0.5-1.0 mg/kg/dose
in 1-2 divided doses daily. Maximum dose- 2mg/kg/day or 100 mg/day
• Angina: Oral, adult: 100 mg, maximum dose 200 mg daily 1 or 2 doses.
• Arrhythmias: Oral, adult: 50-100 mg daily. Intravenous, adult: 2.5 mg at
rate of 1 mg/min repeated at 5 min interval to a maximum of 10 mg/dose.
Intravenous infusion, adult: 150 mcg/kg every 12 hourly over 20 minutes,
repeated every 12 hours if required.
• Early intervention Myocardial infarction (within 12 hour): slow intravenous
infusion, adult: 5 mg by then oral 50 mg after 15 minutes then oral 50 mg
after 12 hours then 100 mg daily.
• Migraine prophylaxis: Oral, adult: 50–200 mg daily in divided doses","Bradycardia, gastrointestinal disturbances including
nausea, vomiting, diarrhea, constipation, abdominal cramp, fatigue, cold
hands and feet, hypertriglyceridemia.","Avoid with verapamil. Hypotensive effect
increases with diuretics, ACE inhibitors, Angiotensin II receptor antagonist,
calcium channel blocker. Atenolol may enhance bradycardia produced by
cardiac glycosides."
BISOPROLOL,"Tablet: 2.5 mg, 5 mg, 10 mg","Hypertension, angina, adjunct in heart failure","Avoid in history of asthma or bronchospasm
(if no alternative, then use with extreme caution and under specialist
supervision), uncontrolled heart failure, prinzemetal angina, bradycardia
(heart rate <50 bpm), hypotension, sick sinus syndrome, second and third
degree atrioventricular block, cardiogenic shock, metabolic acidosis, severe
peripheral arterial disease, pheochromocytoma (unless used with an alpha
blocker). Use caution in patients with first –degree atrioventricular block,
portal hypertension, renal impairment (reduce dose), diabetes mellitus (small
decrease in glucose tolerance, which can mask symptoms of hypoglycemia),
history of hypersensitivity and myasthenia gravis, obstructive airway
disease, portal hypertension, psoriasis. Pregnancy- avoid (IUGR, neonatal
hypoglycemia and bradycardia). Breast feeding: avoid. Monitor lung function
in inadequate cardiac function and bronchospasm disease. Symptoms of
hypoglycemia and thyrotoxicosis may get masked. Assess weight daily, watch
for CHF (rales/crackles, jugular vein distension, weight gain, and edema).
Abrupt withdrawal of drug may exacerbate angina symptoms or precipitate
myocardial infarction in patients with coronary artery disease.","• Hypertension and angina: Oral, adult: 5-10 mg once daily, 20 mg daily
(maximum).
• Adjunct in heart failure: Oral, adult: initially 1.25 mg once daily (in the
morning) for 1 week then, if well tolerated, increased to 2.5 mg once daily
for 1 week, then 3.75 mg once daily for 1 week, then 5 mg once daily for 4
weeks, then 7.5 mg once daily for 4 weeks, then 10 mg once daily, maximum
10 mg daily.","Bradycardia, gastrointestinal disturbances including
nausea, vomiting, diarrhea, constipation, abdominal cramp, fatigue, cold
hands and feet, hypertriglyceridemia.","Avoid with verapamil. Hypotensive effect
increases with diuretics, ACE inhibitors, Angiotensin II receptor antagonist,
calcium channel blocker. Atenolol may enhance bradycardia produced by
cardiac glycosides."
CARVEDILOL,"Tablet: 3.125 mg, 6.25 mg, 12.5 mg, 25 mg","Angina, hypertension, adjunct to diuretics/digoxin/ACE
inhibitors in heart failure","Avoid in history of asthma or bronchospasm
(if no alternative, then use with extreme caution and under specialist
supervision), uncontrolled heart failure, prinzemetal angina, bradycardia
(heart rate <50 bpm), hypotension, sick sinus syndrome, second and third
degree atrioventricular block, cardiogenic shock, metabolic acidosis, severe
peripheral arterial disease, pheochromocytoma (unless used with an alpha
blocker). Use caution in patients with first –degree atrioventricular block,
portal hypertension, renal impairment (reduce dose), diabetes mellitus (small
decrease in glucose tolerance, which can mask symptoms of hypoglycemia),
history of hypersensitivity and myasthenia gravis, obstructive airway
disease, portal hypertension, psoriasis. Pregnancy- avoid (IUGR, neonatal
hypoglycemia and bradycardia). Breast feeding: avoid. Monitor lung function
in inadequate cardiac function and bronchospasm disease. Symptoms of
hypoglycemia and thyrotoxicosis may get masked. Assess weight daily, watch
for CHF (rales/crackles, jugular vein distension, weight gain, and edema).
Abrupt withdrawal of drug may exacerbate angina symptoms or precipitate
myocardial infarction in patients with coronary artery disease. Avoid in acute
decompensated heart failure requiring intravenous inotropes. Check for
edema in feet, legs daily. Rise slowly from sitting or lying position to minimize
orthostatic hypotension","• Hypertension: Oral, adult: Initially 12.5 mg once daily for 2 days, then
increased to 25 mg once daily; increased if necessary up to 50 mg daily,
dose to be increased at intervals of at least 2 weeks and can be given as a
single dose or in divided doses daily.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    • Angina: Oral, adult: initially 12.5 mg once daily, increased after 2 days to 25
mg twice daily.
• Adjunct in heart failure: Oral, adult: initially 3.125 mg twice daily to 6.25
mg twice daily, then to 12.5 mg twice daily then to 25 mg twice daily. Dose
increased at intervals of at least 2 weeks","Allergic skin reactions, angina, AV block, changes in
liver enzymes, depressed mood, disturbances of micturition, influenza-
like symptoms, leucopenia, nasal stuffiness, postural hypotension,
thrombocytopenia, wheezing, headache, dizziness, bradycardia and
impotence","Conduction disturbances increases with calcium
channel blocker. Carvedilol increases the effect of antidiabetic drugs."
